date,epu_overall,epu_trade,epu_fiscal,epu_monetary,epu_healthcare,epu_natsec,epu_regulation,epu_taxes
2015-01,117.16,33.81,86.93,51.94,129.57,64.13,118.08,95.43
2015-02,100.32,15.41,55.68,36.31,60.24,42.01,126.27,61.37
2015-03,105.22,27.91,66.84,33.93,73.64,46.22,75.61,70.53
2015-04,109.64,41.60,42.88,35.80,75.89,65.44,81.24,46.73
2015-05,101.02,88.92,64.95,31.08,73.28,30.43,87.66,71.23
2015-06,108.95,100.80,65.42,33.04,108.37,27.27,87.44,70.67
2015-07,98.92,51.49,61.79,52.28,89.83,63.39,111.60,62.70
2015-08,129.70,20.83,53.30,74.79,52.67,45.79,104.60,54.44
2015-09,138.72,19.61,41.33,104.99,52.32,42.76,73.08,40.55
2015-10,102.89,68.61,52.54,63.59,73.94,38.81,79.40,49.42
2015-11,92.10,20.50,41.14,35.15,58.91,39.30,70.99,44.99
2015-12,99.34,20.48,51.00,60.36,59.43,57.98,76.85,51.28
2016-01,119.02,42.78,68.61,55.46,104.53,59.47,106.61,73.25
2016-02,114.62,26.27,68.27,65.96,110.21,36.61,96.15,75.68
2016-03,104.19,49.19,61.91,50.41,75.85,32.68,81.86,66.76
2016-04,84.25,42.92,41.97,37.05,61.83,27.24,79.91,45.23
2016-05,82.04,76.85,53.49,39.75,66.49,34.94,63.41,56.20
2016-06,162.63,271.07,67.84,170.22,84.70,88.39,151.14,70.01
2016-07,121.96,116.30,67.38,116.08,70.68,79.21,96.13,68.26
2016-08,91.83,155.27,68.25,65.27,105.64,48.66,66.30,72.49
2016-09,79.81,93.08,41.26,39.37,55.15,36.49,72.27,41.21
2016-10,92.52,83.54,74.64,54.64,123.60,46.81,77.02,79.45
2016-11,169.38,540.42,141.44,111.16,270.29,138.72,189.58,153.83
2016-12,115.15,275.12,160.90,86.74,185.23,134.76,213.30,161.07
2017-01,134.87,474.80,167.87,86.05,350.64,112.85,199.53,178.46
2017-02,133.33,250.13,121.36,99.29,201.38,94.47,180.99,126.48
2017-03,119.78,151.94,106.70,50.94,202.35,114.62,152.42,112.09
2017-04,121.57,153.35,110.42,36.37,167.16,68.81,108.09,116.31
2017-05,104.17,87.27,106.83,42.43,164.82,88.87,89.58,110.51
2017-06,98.76,86.86,88.48,47.23,197.85,46.22,84.77,91.85
2017-07,110.75,92.14,110.07,38.02,218.90,62.33,143.63,120.51
2017-08,109.18,91.35,83.12,23.32,127.69,49.69,97.14,86.39
2017-09,96.75,76.29,83.79,35.04,120.30,48.59,111.72,92.85
2017-10,102.16,96.87,83.03,47.63,113.61,44.89,74.84,91.81
2017-11,94.49,49.48,138.36,21.47,231.56,79.32,75.96,155.22
2017-12,111.50,182.30,134.87,26.80,193.98,64.48,86.62,151.06
2018-01,123.65,247.79,132.60,31.99,184.20,111.18,128.41,144.79
2018-02,94.01,69.09,100.59,43.19,96.23,32.66,81.61,112.86
2018-03,136.33,524.65,80.34,27.38,65.43,95.71,84.86,90.85
2018-04,108.21,463.18,96.29,30.69,103.50,132.42,110.56,107.12
2018-05,124.94,283.08,91.74,29.95,117.34,102.66,105.27,100.70
2018-06,108.63,688.40,111.63,29.21,99.33,155.60,92.40,118.00
2018-07,133.09,904.72,107.26,62.89,75.99,164.70,86.60,113.48
2018-08,99.14,469.29,82.93,41.68,90.42,78.21,102.78,89.85
2018-09,102.66,323.39,66.62,20.15,80.59,65.00,85.48,74.56
2018-10,111.51,443.23,107.66,34.81,177.32,103.29,158.70,119.64
2018-11,130.22,403.08,88.85,42.65,164.90,78.72,108.40,97.18
2018-12,166.29,681.87,113.93,151.21,145.93,140.93,117.74,123.50
2019-01,201.03,715.62,143.38,144.44,211.18,176.28,120.76,150.22
2019-02,106.90,307.09,97.21,68.14,146.86,73.04,109.11,103.81
2019-03,140.25,287.67,106.75,55.81,150.97,72.85,110.25,110.04
2019-04,98.74,335.67,72.19,34.85,105.38,44.41,91.86,79.85
2019-05,122.54,786.54,101.47,52.62,159.39,145.45,55.79,111.61
2019-06,150.12,1374.28,129.34,146.16,175.56,182.42,142.70,139.45
2019-07,149.97,600.79,62.91,100.78,95.82,93.47,123.02,64.84
2019-08,190.46,1946.68,157.16,276.78,152.32,318.14,101.75,174.37
2019-09,134.36,919.12,98.39,128.29,116.28,176.04,178.04,101.24
2019-10,118.49,842.41,82.59,91.94,125.21,169.25,85.82,91.73
