date,sp500_gold_ratio
2006-01-01,100.00
2006-04-01,98.50
2006-07-01,95.20
2006-10-01,97.80
2007-01-01,96.50
2007-04-01,97.00
2007-07-01,95.00
2007-10-01,90.50
2008-01-01,82.00
2008-04-01,77.50
2008-07-01,72.00
2008-10-01,55.00
2009-01-01,49.00
2009-04-01,47.50
2009-07-01,51.00
2009-10-01,52.50
2010-01-01,48.50
2010-04-01,47.00
2010-07-01,44.00
2010-10-01,43.50
2011-01-01,43.00
2011-04-01,42.00
2011-07-01,38.50
2011-10-01,38.00
2012-01-01,40.00
2012-04-01,40.50
2012-07-01,42.00
2012-10-01,42.50
2013-01-01,46.00
2013-04-01,53.00
2013-07-01,55.00
2013-10-01,56.50
2014-01-01,57.50
2014-04-01,58.50
2014-07-01,60.00
2014-10-01,62.00
2015-01-01,61.50
2015-04-01,62.00
2015-07-01,63.50
2015-10-01,62.50
2016-01-01,57.50
2016-04-01,58.00
2016-07-01,60.50
2016-10-01,63.00
2017-01-01,64.50
2017-04-01,66.00
2017-07-01,68.00
2017-10-01,71.00
2018-01-01,73.50
2018-04-01,77.00
2018-07-01,82.00
2018-10-01,85.00
2019-01-01,73.00
2019-04-01,78.00
2019-07-01,74.50
2019-10-01,72.00
2020-01-01,80.00
2020-04-01,58.00
2020-07-01,60.50
2020-10-01,67.00
2021-01-01,75.00
2021-04-01,82.00
2021-07-01,88.00
2021-10-01,105.00
2022-01-01,110.00
2022-04-01,90.00
2022-07-01,82.00
2022-10-01,80.00
2023-01-01,78.00
2023-04-01,76.50
2023-07-01,82.00
2023-10-01,78.00
2024-01-01,85.00
2024-04-01,82.00
2024-07-01,80.00
2024-10-01,75.00
2025-01-01,68.00
2025-04-01,55.00
2025-07-01,62.00
2025-10-01,65.00
2026-01-01,67.00
