date,value
2000-01-01,1.6246
2000-02-01,1.5368
2000-03-01,1.3973
2000-04-01,1.2581
2000-05-01,1.4373
2000-06-01,1.2737
2000-07-01,1.1886
2000-08-01,1.0665
2000-09-01,1.0635
2000-10-01,0.9808
2000-11-01,0.9407
2000-12-01,0.7762
2001-01-01,0.8731
2001-02-01,0.9315
2001-03-01,0.9222
2001-04-01,1.1409
2001-05-01,1.3282
2001-06-01,1.3201
2001-07-01,1.2849
2001-08-01,1.1985
2001-09-01,1.2002
2001-10-01,1.2220
2001-11-01,1.3372
2001-12-01,1.6529
2002-01-01,1.6260
2002-02-01,1.5514
2002-03-01,1.7344
2002-04-01,1.6933
2002-05-01,1.6379
2002-06-01,1.4987
2002-07-01,1.3467
2002-08-01,1.1278
2002-09-01,0.9052
2002-10-01,0.9421
2002-11-01,1.0708
2002-12-01,1.0772
2003-01-01,1.0733
2003-02-01,0.9915
2003-03-01,0.9308
2003-04-01,1.0097
2003-05-01,0.7824
2003-06-01,0.6613
2003-07-01,1.0156
2003-08-01,1.3159
2003-09-01,1.2096
2003-10-01,1.2033
2003-11-01,1.2234
2003-12-01,1.2105
2004-01-01,1.1353
2004-02-01,1.0965
2004-03-01,0.9400
2004-04-01,1.2435
2004-05-01,1.4520
2004-06-01,1.4044
2004-07-01,1.2448
2004-08-01,1.1007
2004-09-01,0.9661
2004-10-01,0.9230
2004-11-01,0.9157
2004-12-01,0.8994
2005-01-01,0.8722
2005-02-01,0.8068
2005-03-01,0.9567
2005-04-01,0.8538
2005-05-01,0.7343
2005-06-01,0.6378
2005-07-01,0.6790
2005-08-01,0.6847
2005-09-01,0.6396
2005-10-01,0.7350
2005-11-01,0.7542
2005-12-01,0.7046
2006-01-01,0.6126
2006-02-01,0.6686
2006-03-01,0.7262
2006-04-01,0.8297
2006-05-01,0.8666
2006-06-01,0.8448
2006-07-01,0.7989
2006-08-01,0.6892
2006-09-01,0.6345
2006-10-01,0.6239
2006-11-01,0.5441
2006-12-01,0.5393
2007-01-01,0.6331
2007-02-01,0.6106
2007-03-01,0.5261
2007-04-01,0.6041
2007-05-01,0.6543
2007-06-01,0.8777
2007-07-01,0.7921
2007-08-01,0.7279
2007-09-01,0.6958
2007-10-01,0.7072
2007-11-01,0.6276
2007-12-01,0.6524
2008-01-01,0.5028
2008-02-01,0.6598
2008-03-01,0.6760
2008-04-01,0.7918
2008-05-01,0.8623
2008-06-01,0.9536
2008-07-01,0.9157
2008-08-01,0.8290
2008-09-01,0.8035
2008-10-01,1.0292
2008-11-01,0.9980
2008-12-01,0.4960
2009-01-01,0.5336
2009-02-01,0.6958
2009-03-01,0.6442
2009-04-01,0.6536
2009-05-01,0.8529
2009-06-01,1.1386
2009-07-01,1.0274
2009-08-01,1.0586
2009-09-01,0.9523
2009-10-01,0.9302
2009-11-01,0.9195
2009-12-01,0.9812
2010-01-01,1.0681
2010-02-01,1.0207
2010-03-01,1.0244
2010-04-01,1.0862
2010-05-01,0.8671
2010-06-01,0.7559
2010-07-01,0.6147
2010-08-01,0.4225
2010-09-01,0.3939
2010-10-01,0.2986
2010-11-01,0.3972
2010-12-01,0.7314
2011-01-01,0.7807
2011-02-01,0.9066
2011-03-01,0.8249
2011-04-01,0.8658
2011-05-01,0.6912
2011-06-01,0.5593
2011-07-01,0.5623
2011-08-01,0.1898
2011-09-01,0.0428
2011-10-01,0.1371
2011-11-01,0.0541
2011-12-01,0.0323
2012-01-01,0.0091
2012-02-01,-0.0135
2012-03-01,0.1055
2012-04-01,0.0377
2012-05-01,-0.0900
2012-06-01,-0.1712
2012-07-01,-0.2278
2012-08-01,-0.1485
2012-09-01,-0.1494
2012-10-01,-0.1380
2012-11-01,-0.1753
2012-12-01,-0.1455
2013-01-01,-0.0487
2013-02-01,-0.0110
2013-03-01,-0.0265
2013-04-01,-0.1227
2013-05-01,-0.0330
2013-06-01,0.1951
2013-07-01,0.3589
2013-08-01,0.4489
2013-09-01,0.5016
2013-10-01,0.3691
2013-11-01,0.4011
2013-12-01,0.5150
2014-01-01,0.5288
2014-02-01,0.4406
2014-03-01,0.4711
2014-04-01,0.4890
2014-05-01,0.4079
2014-06-01,0.4374
2014-07-01,0.4241
2014-08-01,0.3742
2014-09-01,0.4464
